"vendorNumber","brand","PurchasePrice","ActualPrice","TotalSalesQuantity","TotalSalesDollars","TotalSalesPrice","TotalExciseTax","TotalQuantityPurchase","TotalPurchaseDollars","freightCost","GrossProfit","profitmargin","stockturnover","salestoPurchaseRatio"
17035,5734,15.82,21.99,60102,1293182.98,315290.18,110429.45,61639,975128.98,123780.22,318054,24.5946633167102,0.975064488392089,1.32616608317804
480,4227,14.17,17.99,75147,1323223.53,177578.65,138074.09,68294,967725.98,89286.27,355497.55,26.8660239135862,1.10034556476411,1.36735352501335
4425,3505,13.76,18.99,70603,1355204.97,331321.59,55584.91,69299,953554.24,144929.24,401650.73,29.6376370284415,1.01881701034647,1.4212143506383
1128,1232,15.93,22.99,53206,1255188.94,394500.86,41888.06,52932,843206.76,68601.68,411982.18,32.8223239443139,1.00517645280738,1.48858974992089
12546,1385,20.45,26.99,37615,1034144.85,396827.65,29615.6,41048,839431.6,123880.97,194713.25,18.8284310461924,0.916366205418047,1.23195844664413
8004,5103,17.14,23.99,43533,1093841.67,364814.64,79984.58,44198,757553.72,50293.62,336287.95,30.7437501443879,0.984954070319924,1.44391300725182
17035,8000,53.96,67.99,13210,910688.9,453044.28,24275.31,13759,742435.64,123780.22,168253.26,18.4753827569437,0.960098844392761,1.22662336091516
3960,2432,17.59,22.99,41506,967005.94,361149.79,32678.12,41893,736897.87,257032.07,230108.07,23.7959313879706,0.990762179839114,1.31226589106575
17035,5365,14.84,18.99,48615,932815.85,323296.76,38272.73,48583,720971.72,123780.22,211844.13,22.7101769336359,1.00065866661178,1.29383140021082
3960,3876,13.95,19.99,64266,1210481.34,298050.96,118078.45,50962,710919.9,257032.07,499561.44,41.2696522855941,1.26105725834936,1.70269722369567
1392,3913,14.28,17.99,47805,875307.95,271014.43,87832.83,48481,692308.68,79528.99,182999.27,20.9068442712076,0.986056393226212,1.26433190177538
8004,3522,9.62,12.99,70351,914148.49,232302.78,129253.37,71899,691668.38,50293.62,222480.11,24.3374148110227,0.978469797910958,1.3216571935817
1392,2114,9.41,12.99,72043,948838.57,229797.43,132364.71,73227,689066.07,79528.99,259772.5,27.3779448067757,0.983831100550344,1.37699215113001
4425,11219,8.44,12.99,78392,1095045.04,199092.27,8799.82,80030,675453.2,144929.24,419591.84,38.3173134138848,0.979532675246782,1.62120046214897
9552,3893,7.93,9.99,81723,816412.77,171058.77,150149.63,81447,645874.71,55551.82,170538.06,20.8887055992522,1.00338870676636,1.26404201520756
1128,811,19.84,29.99,32064,937915.36,253234.7,33667.2,32554,645871.36,68601.68,292044,31.1375644812982,0.984948086256681,1.45217053748908
3960,2443,13.48,16.99,47446,902489.54,273169.26,87173.57,47654,642375.92,257032.07,260113.62,28.821787784931,0.99563520376044,1.4049243004003
660,2127,7.19,10.49,86195,899110.55,183132.56,158367.21,86887,624717.53,17932.33,274393.02,30.5182738652105,0.992035632488174,1.43922734167553
1392,6682,6.03,8.99,101339,1016328.61,161300.35,22776.05,101547,612328.41,79528.99,404000.2,39.7509423649896,0.997951687395984,1.65977699777151
3960,3798,19.83,28.99,29647,748067.53,157601.68,23348.15,30830,611358.9,257032.07,136708.63,18.2749049407344,0.961628284138826,1.22361436138412
3960,4262,11.19,13.99,55710,862422.9,241540.93,43861.64,54552,610436.88,257032.07,251986.02,29.2183823040877,1.02122745270568,1.41279619278573
1128,2015,18.1,22.99,32969,771010.31,303753.15,25959.91,33715,610241.5,68601.68,160768.81,20.8517068987054,0.977873350140887,1.26345112549704
12546,1737,34.3,51.99,16089,823521.11,432234.78,29564.92,17537,601519.1,123880.97,222002.01,26.9576586810264,0.917431715800878,1.3690689289833
4425,38370,6.59,9.95,90267,890334.41,124833.98,10138.88,91140,600612.6,144929.24,289721.81,32.540785433644,0.990421329822252,1.4823771762364
6785,6937,6.75,9.99,87974,945345.02,164272.29,19771.27,88752,599076,13605.41,346269.02,36.628851125698,0.991234000360555,1.57800516128171
8112,4689,33.33,45.99,18005,858571.95,177136.37,14178.85,17838,594540.54,48347.26,264031.41,30.7523918059517,1.0093620361027,1.44409319842176
4425,3040,16.54,23.99,34901,842326.99,253126.18,36646.05,35922,594149.88,144929.24,248177.11,29.4632741140112,0.971577306386059,1.41770118677799
17035,3625,12.59,16.99,44406,785296.94,270297.42,34961.13,45969,578749.71,123780.22,206547.23,26.3017999280629,0.965998825295308,1.35688524146301
8112,7865,23.97,34.99,23290,834892.1,249582.16,2606.53,24088,577389.36,48347.26,257502.74,30.8426370305816,0.966871471272003,1.44597763284034
